id,symbol,name,priceUsd,marketCapUsd,volumeUsd24Hr,last_updated
bitcoin,BTC,Bitcoin,81284.44,1627738874861.24,33682210197.428036,2026-05-06 02:25:21
ethereum,ETH,Ethereum,2369.2756057424003,285941397881.5973,12769039203.228088,2026-05-06 02:25:21
tether,USDT,Tether USDt,0.999995595438484,189573733271.21503,705731997.3642004,2026-05-06 02:25:21
xrp,XRP,XRP,1.415591025,87478181822.96011,1687489619.0228555,2026-05-06 02:25:21
binance-coin,BNB,BNB,634.2,85481202927.03598,1106310662.6317616,2026-05-06 02:25:21
usd-coin,USDC,USDC,0.99996,78090355853.19566,5188755666.864619,2026-05-06 02:25:21
solana,SOL,Solana,86.754882812,50010783978.01332,3159082666.421079,2026-05-06 02:25:21
tron,TRX,TRON,0.34421205,32628668739.76961,581571377.7199159,2026-05-06 02:25:21
steth,STETH,Lido Staked ETH,2365.399296,21418790752.130314,5205734.818534696,2026-05-06 02:25:21
dogecoin,DOGE,Dogecoin,0.1150199999999999,19533823955.619125,1543445325.9959388,2026-05-06 02:25:21
bitcoin,BTC,Bitcoin,80906.27,1620206147451.86,32658669339.116287,2026-05-07 02:27:48
ethereum,ETH,Ethereum,2317.17,279652811090.7268,16060011825.06264,2026-05-07 02:27:48
tether,USDT,Tether USDt,1.0,189651082316.74588,572396331.2332661,2026-05-07 02:27:48
xrp,XRP,XRP,1.4117,87237731165.66118,2327799350.849229,2026-05-07 02:27:48
binance-coin,BNB,BNB,642.73,86630891721.1342,1703330411.1469407,2026-05-07 02:27:48
usd-coin,USDC,USDC,1.0,78265017945.62186,4767356418.627422,2026-05-07 02:27:48
solana,SOL,Solana,87.937024863,50746946837.441376,4000994611.4213786,2026-05-07 02:27:48
tron,TRX,TRON,0.3456,32760441468.05754,538189277.8714625,2026-05-07 02:27:48
steth,STETH,Lido Staked ETH,2315.43,20885138837.189697,10065348.6994927,2026-05-07 02:27:48
dogecoin,DOGE,Dogecoin,0.1105349999999999,18773756626.34642,1855329352.2172544,2026-05-07 02:27:48
bitcoin,BTC,Bitcoin,79611.36,1594311266182.08,30156306457.76808,2026-05-08 02:35:07
ethereum,ETH,Ethereum,2281.37001464,275331512835.8721,15205628882.294056,2026-05-08 02:35:07
tether,USDT,Tether USDt,0.999959233868454,189707412245.9712,639383550.2653782,2026-05-08 02:35:07
binance-coin,BNB,BNB,638.24,86025670783.0128,917776652.2512078,2026-05-08 02:35:07
xrp,XRP,XRP,1.3849,85581592329.33638,1489866718.7899055,2026-05-08 02:35:07
usd-coin,USDC,USDC,1.0,78361898450.42456,4001175712.2223415,2026-05-08 02:35:07
solana,SOL,Solana,88.18999999999998,50925474402.15504,3142085104.860099,2026-05-08 02:35:07
tron,TRX,TRON,0.3471799999999999,32910483899.544468,438909847.11882937,2026-05-08 02:35:07
steth,STETH,Lido Staked ETH,2279.92,20132413398.53839,9014581.019224418,2026-05-08 02:35:07
dogecoin,DOGE,Dogecoin,0.1065799999999999,18103511802.6308,1119065119.6521575,2026-05-08 02:35:07
bitcoin,BTC,Bitcoin,80398.53,1610108396912.7,25185313561.899437,2026-05-09 02:27:55
ethereum,ETH,Ethereum,2315.48,279448141796.4137,13395396816.81154,2026-05-09 02:27:55
tether,USDT,Tether USDt,0.9999988417696952,189714926464.74567,611724276.7258087,2026-05-09 02:27:55
xrp,XRP,XRP,1.42929,88324726767.56244,1300140446.376379,2026-05-09 02:27:55
binance-coin,BNB,BNB,654.31,88191649098.801,812220368.3905056,2026-05-09 02:27:55
usd-coin,USDC,USDC,0.9999,77989256482.50607,4590987365.273872,2026-05-09 02:27:55
solana,SOL,Solana,93.3983566,53932990386.98831,3429895071.9230947,2026-05-09 02:27:55
tron,TRX,TRON,0.3502,33196925618.475464,515547782.91816336,2026-05-09 02:27:55
steth,STETH,Lido Staked ETH,2313.62,20391413599.8111,3712427.2041875566,2026-05-09 02:27:55
dogecoin,DOGE,Dogecoin,0.1105799999999999,17046846530.11012,835480956.0962659,2026-05-09 02:27:55
bitcoin,BTC,Bitcoin,80738.85,1616967283522.8,14864149852.561804,2026-05-10 02:31:07
ethereum,ETH,Ethereum,2326.08,280726798104.29425,7606429403.142811,2026-05-10 02:31:07
tether,USDT,Tether USDt,0.99997999,189687799638.3361,320263373.0865884,2026-05-10 02:31:07
xrp,XRP,XRP,1.4213,87830974927.9268,953968368.467936,2026-05-10 02:31:07
binance-coin,BNB,BNB,647.425,87263623865.64671,686007618.492044,2026-05-10 02:31:07
usd-coin,USDC,USDC,1.0,77910613808.54515,1649618720.4459891,2026-05-10 02:31:07
solana,SOL,Solana,93.07,53754451494.53118,2123455579.2389245,2026-05-10 02:31:07
tron,TRX,TRON,0.3508499999999999,33259136133.21778,432593436.3309952,2026-05-10 02:31:07
steth,STETH,Lido Staked ETH,2324.61,20450055343.432663,4582746.909341374,2026-05-10 02:31:07
dogecoin,DOGE,Dogecoin,0.10878,16770904824.819458,499278821.6555864,2026-05-10 02:31:07
bitcoin,BTC,Bitcoin,81173.33,1625709013241.25,24150880680.293888,2026-05-11 02:40:25
ethereum,ETH,Ethereum,2345.91,283119911359.8104,13630554953.518528,2026-05-11 02:40:25
tether,USDT,Tether USDt,0.99991999,189676418123.9851,277645545.5276976,2026-05-11 02:40:25
xrp,XRP,XRP,1.4518,89715759797.6248,2525014584.78216,2026-05-11 02:40:25
binance-coin,BNB,BNB,654.32,88192949269.2304,805933405.1075734,2026-05-11 02:40:25
